#Time	Channel A	Channel B
#(s)	(V)	(V)
#
-3.68073577	0.01831111	-3.80108000
-3.67740177	0.03668325	-3.75530300
-3.67406777	0.01831111	-3.75530300
-3.67073377	0.01831111	-3.75530300
-3.66739976	0.01831111	-3.75530300
-3.66406576	0.01831111	-3.75530300
-3.66073176	0.01831111	-3.75530300
-3.65739776	0.01831111	-3.80108000
-3.65406376	0.01831111	-3.75530300
-3.65072976	0.01831111	-3.80108000
-3.64739576	0.01831111	-3.75530300
-3.64406176	0.01831111	-3.75530300
-3.64072776	0.01831111	-3.75530300
-3.63739376	0.01831111	-3.75530300
-3.63405976	0.03668325	-3.75530300
-3.63072576	0.01831111	-3.75530300
-3.62739176	0.01831111	-3.75530300
-3.62405776	-0.00006104	-3.75530300
-3.62072376	-0.00006104	-3.75530300
-3.61738976	0.01831111	-3.75530300
-3.61405576	0.01831111	-3.75530300
-3.61072176	0.01831111	-3.80108000
-3.60738776	0.01831111	-3.75530300
-3.60405376	0.01831111	-3.75530300
-3.60071976	0.01831111	-3.75530300
-3.59738576	0.01831111	-3.80108000
-3.59405176	-0.00006104	-3.80108000
-3.59071776	0.01831111	-3.75530300
-3.58738376	0.01831111	-3.75530300
-3.58404976	0.01831111	-3.75530300
-3.58071576	0.01831111	-3.75530300
-3.57738176	0.01831111	-3.75530300
-3.57404776	0.01831111	-3.75530300
-3.57071376	-0.00006104	-3.75530300
-3.56737976	0.01831111	-3.75530300
-3.56404576	0.01831111	-3.75530300
-3.56071176	0.01831111	-3.75530300
-3.55737776	-0.00006104	-3.80108000
-3.55404376	-0.00006104	-3.75530300
-3.55070976	0.01831111	-3.80108000
-3.54737576	0.01831111	-3.75530300
-3.54404176	0.01831111	-3.75530300
-3.54070776	0.01831111	-3.80108000
-3.53737376	0.01831111	-3.75530300
-3.53403976	0.01831111	-3.75530300
-3.53070576	0.01831111	-3.80108000
-3.52737176	0.03668325	-3.75530300
-3.52403776	0.01831111	-3.75530300
-3.52070376	0.03668325	-3.75530300
-3.51736976	0.01831111	-3.75530300
-3.51403576	0.01831111	-3.80108000
-3.51070176	0.03668325	-3.75530300
-3.50736776	0.03668325	-3.75530300
-3.50403376	0.03668325	-3.75530300
-3.50069976	0.01831111	-3.75530300
-3.49736576	0.03668325	-3.75530300
-3.49403176	0.01831111	-3.75530300
-3.49069776	0.01831111	-3.75530300
-3.48736376	0.03668325	-3.75530300
-3.48402976	0.01831111	-3.75530300
-3.48069576	0.01831111	-3.75530300
-3.47736176	0.03668325	-3.75530300
-3.47402776	0.01831111	-3.80108000
-3.47069376	0.03668325	-3.75530300
-3.46735976	0.01831111	-3.75530300
-3.46402576	0.01831111	-3.75530300
-3.46069176	0.01831111	-3.75530300
-3.45735776	0.01831111	-3.75530300
-3.45402376	0.01831111	-3.80108000
-3.45068976	0.01831111	-3.75530300
-3.44735576	0.01831111	-3.75530300
-3.44402176	0.01831111	-3.75530300
-3.44068776	0.01831111	-3.75530300
-3.43735376	-0.00006104	-3.75530300
-3.43401976	0.01831111	-3.75530300
-3.43068576	0.01831111	-3.75530300
-3.42735176	0.01831111	-3.75530300
-3.42401776	0.01831111	-3.75530300
-3.42068376	-0.00006104	-3.75530300
-3.41734976	-0.00006104	-3.75530300
-3.41401576	-0.00006104	-3.75530300
-3.41068176	-0.00006104	-3.75530300
-3.40734776	-0.00006104	-3.75530300
-3.40401376	-0.00006104	-3.75530300
-3.40067976	-0.00006104	-3.75530300
-3.39734576	-0.00006104	-3.75530300
-3.39401176	-0.00006104	-3.75530300
-3.39067776	-0.00006104	-3.80108000
-3.38734376	0.01831111	-3.75530300
-3.38400976	0.01831111	-3.80108000
-3.38067576	-0.00006104	-3.75530300
-3.37734176	-0.00006104	-3.75530300
-3.37400776	-0.00006104	-3.75530300
-3.37067376	0.01831111	-3.75530300
-3.36733976	-0.00006104	-3.80108000
-3.36400576	-0.00006104	-3.75530300
-3.36067176	-0.00006104	-3.75530300
-3.35733776	-0.00006104	-3.75530300
-3.35400376	0.01831111	-3.75530300
-3.35066976	-0.00006104	-3.75530300
-3.34733576	-0.00006104	-3.75530300
-3.34400176	-0.00006104	-3.75530300
-3.34066776	-0.00006104	-3.75530300
-3.33733376	-0.00006104	-3.75530300
-3.33399976	-0.00006104	-3.75530300
-3.33066576	0.01831111	-3.75530300
-3.32733176	-0.00006104	-3.75530300
-3.32399776	0.01831111	-3.75530300
-3.32066376	-0.00006104	-3.80108000
-3.31732976	-0.00006104	-3.80108000
-3.31399576	-0.00006104	-3.75530300
-3.31066176	-0.00006104	-3.75530300
-3.30732776	-0.00006104	-3.75530300
-3.30399376	-0.00006104	-3.75530300
-3.30065976	-0.00006104	-3.75530300
-3.29732576	-0.00006104	-3.75530300
-3.29399176	-0.00006104	-3.75530300
-3.29065776	-0.00006104	-3.75530300
-3.28732376	-0.01843318	-3.75530300
-3.28398976	-0.01843318	-3.75530300
-3.28065576	-0.01843318	-3.75530300
-3.27732176	-0.00006104	-3.75530300
-3.27398776	-0.01843318	-3.75530300
-3.27065376	-0.01843318	-3.75530300
-3.26731976	-0.00006104	-3.75530300
-3.26398576	-0.01843318	-3.75530300
-3.26065176	-0.00006104	-3.75530300
-3.25731776	-0.00006104	-3.75530300
-3.25398376	-0.00006104	-3.75530300
-3.25064976	-0.00006104	-3.75530300
-3.24731576	-0.01843318	-3.75530300
-3.24398176	-0.00006104	-3.75530300
-3.24064776	-0.00006104	-3.75530300
-3.23731376	-0.01843318	-3.80108000
-3.23397976	-0.01843318	-3.75530300
-3.23064576	-0.01843318	-3.75530300
-3.22731176	-0.01843318	-3.75530300
-3.22397776	-0.00006104	-3.75530300
-3.22064376	-0.00006104	-3.75530300
-3.21730976	-0.01843318	-3.75530300
-3.21397576	-0.00006104	-3.75530300
-3.21064176	-0.00006104	-3.75530300
-3.20730776	-0.00006104	-3.75530300
-3.20397376	-0.00006104	-3.80108000
-3.20063976	-0.00006104	-3.75530300
-3.19730576	-0.00006104	-3.75530300
-3.19397176	-0.00006104	-3.75530300
-3.19063776	-0.00006104	-3.80108000
-3.18730376	-0.00006104	-3.75530300
-3.18396976	-0.00006104	-3.75530300
-3.18063576	-0.00006104	-3.75530300
-3.17730176	-0.00006104	-3.75530300
-3.17396776	-0.00006104	-3.80108000
-3.17063376	-0.00006104	-3.75530300
-3.16729976	-0.00006104	-3.80108000
-3.16396576	-0.00006104	-3.75530300
-3.16063176	-0.00006104	-3.75530300
-3.15729776	-0.00006104	-3.75530300
-3.15396376	-0.00006104	-3.75530300
-3.15062976	-0.00006104	-3.75530300
-3.14729576	-0.00006104	-3.75530300
-3.14396176	-0.00006104	-3.80108000
